fold,accuracy,precision,recall,f1
1,0.8081157479729227,0.8082147874639828,0.8081157479729227,0.808122974380698
2,0.8099010637506509,0.8097127772650854,0.8099010637506509,0.8097521085481393
3,0.8090084058617868,0.809202637157733,0.8090084058617868,0.808985218282313
4,0.8097894815145429,0.8099022203802778,0.8097894815145429,0.8098140094267647
5,0.8110319689051719,0.811163335547522,0.8110319689051719,0.811045362016904
6,0.8130776812780123,0.8131038825744418,0.8130776812780123,0.8130278930287131
7,0.8125383571069907,0.8123603696839541,0.8125383571069907,0.8123849879562516
8,0.8134310315969575,0.8134433857700579,0.8134310315969575,0.8133560478520445
9,0.8127801231146901,0.8128637646400605,0.8127801231146901,0.8127347752245324
10,0.810771605512265,0.8107161976997167,0.810771605512265,0.8106677166519133
