MAE_train,MAE_test,MSE_train,MSE_test,RMSE_train,RMSE_test,MAPE_train,MAPE_test,Fold
1219.9605545548295,1395.638548011239,3891656.978597809,4920057.676789237,1972.7283083582008,2218.1203025961504,0.13341612187486607,0.1576104169679486,1
1219.2569490571188,1416.4256121236936,3873635.755667515,5258219.227233363,1968.155419591531,2293.080728459721,0.13355792827532106,0.1572760160976657,2
1218.9018645607337,1398.293628630229,3808538.605037425,5913134.250090966,1951.5477460306795,2431.6936998912847,0.13352626837717338,0.15766093780852025,3
1217.2839099227613,1413.2187518956816,3877899.394204971,5048653.897205115,1969.238277660926,2246.9209815222953,0.1333080163970336,0.15785788773859596,4
1220.80322437336,1403.599973567888,3896197.261537531,5193727.510443592,1973.8787352665643,2278.9751008827616,0.13352190369979816,0.15639327570476727,5
1219.6489681544772,1417.7072938845006,3888808.4062077533,5383230.00163748,1972.0061881768406,2320.1788727676753,0.1334342855080818,0.15625624370913266,6
1216.6819724833722,1421.8430470326898,3853805.7157540885,5431849.047521587,1963.1112336681506,2330.632756897059,0.13337300736549373,0.15836480051341786,7
1217.2937234413382,1416.3459866938128,3871485.040799125,5170379.932624168,1967.6089654194823,2273.846945734072,0.1333802885762061,0.15822572815070385,8
1220.6776006461118,1405.0884400220264,3890064.018645676,5042864.482091865,1972.3245216357464,2245.6323123102466,0.13333596607941592,0.1601706962945615,9
1221.201863442681,1404.0519247549125,3880668.3658163794,5240750.2863969095,1969.9412087208034,2289.2685046531587,0.13364778707958325,0.1569554552318154,10
